link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/ava-guest-house-petojo/;Ava Guest House Petojo;Jl. Sadar IV No.16, RT.6/RW.4, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130;PETOJO UTARA;GAMBIR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Kompor-Laundry-Meja kompor-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Regular Queen B;0;1650000
https://infokost.id/listing/ava-guest-house-petojo/;Ava Guest House Petojo;Jl. Sadar IV No.16, RT.6/RW.4, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130;PETOJO UTARA;GAMBIR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Kompor-Laundry-Meja kompor-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Superior Queen A;5;1550000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Pocket Single A;7;1700000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Pocket Single B;86;1800000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Pocket Single C;27;2000000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Compact Single A;76;1850000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Compact Single B;1;2050000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Superior Queen A;26;2150000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Superior Queen B;65;2400000
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Compact Twin A;92;2250000
