link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/jimbaran-12-residence/;Jimbaran 12 Residence;Jl. Raya Uluwatu No.1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361;JIMBARAN;KUTA SELATAN;KABUPATEN BADUNG;BALI;Kost Campur;Area parkir-CCTV-Wifi-Coffe Shop-Warung Makan-Bank-Jimbaran Beach;Deluxe;20;2000000
https://infokost.id/listing/ruoptions-168-residence-denpasar-timur-bali/;168 Residence Denpasar Timur Bali;Jl. Sekar Tunjung XIV No.168, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia;KESIMAN KERTALANGU;DENPASAR TIMUR;KOTA DENPASAR;BALI;Kost Campur;Area parkir-Ruang santai / ruang tamu-Universitas Hindu Indonesia 1.6 km-Living World Denpasar 2.6 km-Institut Pariwisata dan Bisnis Internasional 3.4 km-Universitas Bali Internasional 3.9 km-Rumah Sakit Bhayangkara Denpasar 5.1 km-Universitas Warmadewa 5.9 km-Pantai Sanur 9.1 km;Executive Double Regular;21;1450000
https://infokost.id/listing/ruoptions-168-residence-denpasar-timur-bali/;168 Residence Denpasar Timur Bali;Jl. Sekar Tunjung XIV No.168, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia;KESIMAN KERTALANGU;DENPASAR TIMUR;KOTA DENPASAR;BALI;Kost Campur;Area parkir-Ruang santai / ruang tamu-Universitas Hindu Indonesia 1.6 km-Living World Denpasar 2.6 km-Institut Pariwisata dan Bisnis Internasional 3.4 km-Universitas Bali Internasional 3.9 km-Rumah Sakit Bhayangkara Denpasar 5.1 km-Universitas Warmadewa 5.9 km-Pantai Sanur 9.1 km;Executive Double Premium;2;1550000
https://infokost.id/listing/ruoptions-168-residence-denpasar-timur-bali/;168 Residence Denpasar Timur Bali;Jl. Sekar Tunjung XIV No.168, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia;KESIMAN KERTALANGU;DENPASAR TIMUR;KOTA DENPASAR;BALI;Kost Campur;Area parkir-Ruang santai / ruang tamu-Universitas Hindu Indonesia 1.6 km-Living World Denpasar 2.6 km-Institut Pariwisata dan Bisnis Internasional 3.4 km-Universitas Bali Internasional 3.9 km-Rumah Sakit Bhayangkara Denpasar 5.1 km-Universitas Warmadewa 5.9 km-Pantai Sanur 9.1 km;Family;40;1200000
https://infokost.id/listing/ruoptions-kadessa-pemongan-denpasar-bali/;Kadessa Pemongan Denpasar Bali;Jl. Raya Pemogan No.264, Pemogan, Denpasar Selatan, Kota Denpasar, Bali, Indonesia;PEMOGAN;DENPASAR SELATAN;KOTA DENPASAR;BALI;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Rooftop-Ruang santai / ruang tamu-Upside Down World Bali 0.8 km-LOTTE Wholesale 3.1 km-Mall Bali Galeria 4.4 km-Pelabuhan Benoa Denpasar Selatan 4.5 km-TransMart Carrefour Trans Studio Mall Bali 5 km-Politeknik Kesehatan Denpasar 5.1 km-Bali Wake Park 5.6 km-Bali Exotic Marine Park 5.9 km;Compact Double;9;2000000
https://infokost.id/listing/ruoptions-kadessa-pemongan-denpasar-bali/;Kadessa Pemongan Denpasar Bali;Jl. Raya Pemogan No.264, Pemogan, Denpasar Selatan, Kota Denpasar, Bali, Indonesia;PEMOGAN;DENPASAR SELATAN;KOTA DENPASAR;BALI;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Rooftop-Ruang santai / ruang tamu-Upside Down World Bali 0.8 km-LOTTE Wholesale 3.1 km-Mall Bali Galeria 4.4 km-Pelabuhan Benoa Denpasar Selatan 4.5 km-TransMart Carrefour Trans Studio Mall Bali 5 km-Politeknik Kesehatan Denpasar 5.1 km-Bali Wake Park 5.6 km-Bali Exotic Marine Park 5.9 km;Regular Double;11;2350000
https://infokost.id/listing/shunda-kost-denpasar/;Shunda Kost Denpasar;Jalan Bedahulu VII No.3 Denpasar;DAUH PURI KAJA;DENPASAR UTARA;KOTA DENPASAR;BALI;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Mesin cuci-Tempat jemur pakaian-Wifi-Institut Pariwisata Dan Bisnis International-Universitas Bali Internasional-Mahendradatta University-Lumintang Park-Rumah Sakit Umum Bhakti Rahayu;Standar;16;1400000
https://infokost.id/listing/shunda-kost-denpasar/;Shunda Kost Denpasar;Jalan Bedahulu VII No.3 Denpasar;DAUH PURI KAJA;DENPASAR UTARA;KOTA DENPASAR;BALI;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Mesin cuci-Tempat jemur pakaian-Wifi-Institut Pariwisata Dan Bisnis International-Universitas Bali Internasional-Mahendradatta University-Lumintang Park-Rumah Sakit Umum Bhakti Rahayu;Deluxe;16;1800000
https://infokost.id/listing/serenity-2-kost/;Serenity 2 Kost;Jl. Nelayan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;CANGGU;KUTA UTARA;KABUPATEN BADUNG;BALI;Kost Campur;Area parkir-CCTV-Cleaning service-Laundry-Tempat jemur pakaian-Wifi-  Supermarket-  Rumah Sakit-  Rumah Makan;Double Room With Fan, Ac And Private Bathroom;12;5000000
https://infokost.id/listing/kost-putri-akasia/;Kost Putri Akasia;Jl. Akasia XV No.23, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia;KESIMAN;DENPASAR TIMUR;KOTA DENPASAR;BALI;Kost Putri;CCTV-Dapur-Kompor-Kulkas-Wifi-Universitas Warmadewa-Wings Futsal-Warung Makan-Super Market;Single Room;12;800000
