link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/kost-putra-pak-amos/;Kost Putra Pak Amos;Demangan Kidul GK I no. 83 RT012 RW04 Kel. Demangan Kec. Gondokusuman, Daerah Istimewa Yogyakarta 55221;DEMANGAN;GONDOKUSUMAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putra;Area parkir-CCTV-Dapur-Kulkas-Mesin cuci-Wifi-Lippo Mall-UIN-UGM-Atma Jaya-Sanata Dharma-UKDW-YKPN-AKPRIND;Standar Kamar Mandi Dalam;9;900000
https://infokost.id/listing/kost-putra-pak-amos/;Kost Putra Pak Amos;Demangan Kidul GK I no. 83 RT012 RW04 Kel. Demangan Kec. Gondokusuman, Daerah Istimewa Yogyakarta 55221;DEMANGAN;GONDOKUSUMAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putra;Area parkir-CCTV-Dapur-Kulkas-Mesin cuci-Wifi-Lippo Mall-UIN-UGM-Atma Jaya-Sanata Dharma-UKDW-YKPN-AKPRIND;Standar Kamar Mandi Luar;9;600000
https://infokost.id/listing/kost-putri-maharani/;Kost Putri Maharani;Jl. Kembang Baru II No 2, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;MAGUWOHARJO;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area makan-CCTV-Mesin cuci-Tempat jemur pakaian-Wifi-Bandar Udara Internasional Adisutjipto-Stasiun Maguwo-Pasar Sambilegi-Poltekkes TNI AU Adisutjipto Yogyakarta;Tipe A;25;500000
https://infokost.id/listing/kost-putri-maharani/;Kost Putri Maharani;Jl. Kembang Baru II No 2, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;MAGUWOHARJO;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area makan-CCTV-Mesin cuci-Tempat jemur pakaian-Wifi-Bandar Udara Internasional Adisutjipto-Stasiun Maguwo-Pasar Sambilegi-Poltekkes TNI AU Adisutjipto Yogyakarta;Tipe B;10;400000
https://infokost.id/listing/kost-putri-maharani/;Kost Putri Maharani;Jl. Kembang Baru II No 2, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;MAGUWOHARJO;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area makan-CCTV-Mesin cuci-Tempat jemur pakaian-Wifi-Bandar Udara Internasional Adisutjipto-Stasiun Maguwo-Pasar Sambilegi-Poltekkes TNI AU Adisutjipto Yogyakarta;Tipe C;5;350000
https://infokost.id/listing/kost-putri-amanah-lempuyangan/;KOST PUTRI AMANAH LEMPUYANGAN;Jl. Lempuyangan Tengah III No.244, Bausasran, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55211, Indonesia;BAUSASRAN;DANUREJAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-Meja kompor-Stasiun Lempuyangan-Stadion Mandala Krida-SMP Negeri 15 Yogyakarta-Warung Makan-Coffe Shop;Standard;16;1600000
https://infokost.id/listing/kost-putri-lina/;KOST PUTRI LINA;Jalan Nangka II, No 224, Krodan, Kelurahan Maguwoharjo, Kecamatan Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;MAGUWOHARJO;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Dapur-Dispenser-Kolam renang-Kompor-Kulkas-Mesin cuci-Universitas Pembangunan Nasional Veteran Yogyakarta-Kampus III Universitas Sanata Dharma-Pasar Stan-Maguwoharjo Football Park;Isian;1;1000000
https://infokost.id/listing/kos-muslimah-koziku/;Kos Muslimah Koziku;Turen (Depan SMPN 3 Ngaglik), Sardonoharjo, Ngaglik, Sleman;SARDONOHARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Kulkas-Mesin cuci-Wifi-Pondok Pesantren Pandanaran-Universitas Islam Indonesia-Coffe Shop-Warung Makan-Super Market;Standar;14;899999
https://infokost.id/listing/kos-muslimah-koziku/;Kos Muslimah Koziku;Turen (Depan SMPN 3 Ngaglik), Sardonoharjo, Ngaglik, Sleman;SARDONOHARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Kulkas-Mesin cuci-Wifi-Pondok Pesantren Pandanaran-Universitas Islam Indonesia-Coffe Shop-Warung Makan-Super Market;AC/Heater;14;1200000
https://infokost.id/listing/kos-muslimah-koziku/;Kos Muslimah Koziku;Turen (Depan SMPN 3 Ngaglik), Sardonoharjo, Ngaglik, Sleman;SARDONOHARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Kulkas-Mesin cuci-Wifi-Pondok Pesantren Pandanaran-Universitas Islam Indonesia-Coffe Shop-Warung Makan-Super Market;AC+Heater;14;1400000
