id,link,name,address
145110,https://infokost.id/listing/saung-bambumuda/,Saung BambuMuda,"CIBEUNYING KALER, KOTA BANDUNG"
145535,https://infokost.id/listing/kost-andalan-cisitu-lama-coblong-bandung/,Kost Andalan Cisitu Lama Coblong Bandung,"COBLONG, KOTA BANDUNG"
144208,https://infokost.id/listing/kos-bersih-dan-aman/,Kos Bersih Dan Aman,"COBLONG, KOTA BANDUNG"
142210,https://infokost.id/listing/wisma-rina-rini-2/,Wisma Rina Rini,"ASTANAANYAR, KOTA BANDUNG"
138654,https://infokost.id/listing/kost-an-pak-rachmad/,Kost-An Pak Rachmad,"NGAMPRAH, KABUPATEN BANDUNG BARAT"
138170,https://infokost.id/listing/kost-cihampelas-bandung/,Kost Cihampelas Bandung,"COBLONG, KOTA BANDUNG"
138146,https://infokost.id/listing/kost-bulanan-bandung/,Kost Bulanan Bandung,"COBLONG, KOTA BANDUNG"
138091,https://infokost.id/listing/kosan-putra-sekitar-itb-unikom-polman/,Kosan Putra Sekitar ITB Unikom Polman,"COBLONG, KOTA BANDUNG"
136135,https://infokost.id/listing/andalucia-lodge/,Andalucia Lodge & Brunch,"CICENDO, KOTA BANDUNG"
137226,https://infokost.id/listing/kost-adhrin/,Kost Adhrin,"DAYEUHKOLOT, KABUPATEN BANDUNG"
136094,https://infokost.id/listing/anita-kost/,Anita Kost,"CIDADAP, KOTA BANDUNG"
135994,https://infokost.id/listing/purabaya-residence-2/,Purabaya Residence,"CICENDO, KOTA BANDUNG"
135894,https://infokost.id/listing/kosan-hotel-pasar-baru-heritage/,Kosan Hotel Pasar Baru Heritage,"ANDIR, KOTA BANDUNG"
135887,https://infokost.id/listing/kosan-hotel-sweet-karina/,Kosan Hotel Sweet Karina,"SUKAJADI, KOTA BANDUNG"
135399,https://infokost.id/listing/kost-cisitu-baru-12/,Kost Cisitu Baru 12,"COBLONG, KOTA BANDUNG"
135384,https://infokost.id/listing/kost-l-1-coblong/,Kost L-1 Coblong,"COBLONG, KOTA BANDUNG"
135373,https://infokost.id/listing/kost-32-cisitu-lama-ix/,Kost 32 Cisitu Lama IX,"COBLONG, KOTA BANDUNG"
135004,https://infokost.id/listing/kost-santa/,Kost Santa,"CIBEUNYING KIDUL, KOTA BANDUNG"
134993,https://infokost.id/listing/kost-puri-blessing/,Kost Puri Blessing,"SUKAJADI, KOTA BANDUNG"
134982,https://infokost.id/listing/kost-puri-syailendra/,Kost Puri Syailendra,"SUKAJADI, KOTA BANDUNG"
134971,https://infokost.id/listing/kost-ct-15/,Kost CT 15,"SUKAJADI, KOTA BANDUNG"
134963,https://infokost.id/listing/kost-rumah-ayumi/,Kost Rumah Ayumi,"SUKAJADI, KOTA BANDUNG"
134953,https://infokost.id/listing/kost-jk-sukajadi/,Kost JK Sukajadi,"SUKAJADI, KOTA BANDUNG"
134896,https://infokost.id/listing/kost-fortune-house/,Kost Fortune House,"SUKAJADI, KOTA BANDUNG"
134886,https://infokost.id/listing/kost-griya-anggrek/,Kost Griya Anggrek,"SUKAJADI, KOTA BANDUNG"
134875,https://infokost.id/listing/kost-campur-sukajadi/,Kost Campur Sukajadi,"SUKAJADI, KOTA BANDUNG"
134865,https://infokost.id/listing/kost-graha-setiabudi/,Kost Graha Setiabudi,"CIDADAP, KOTA BANDUNG"
134835,https://infokost.id/listing/kost-kuldesak/,Kost Kuldesak,"COBLONG, KOTA BANDUNG"
134826,https://infokost.id/listing/kost-enin-dago-asri/,Kost Enin Dago Asri,"COBLONG, KOTA BANDUNG"
134815,https://infokost.id/listing/kost-putri-adelia/,Kost Putri Adelia,"COBLONG, KOTA BANDUNG"
134805,https://infokost.id/listing/kost-putri-kanayakan-18/,Kost Putri Kanayakan 18,"COBLONG, KOTA BANDUNG"
134795,https://infokost.id/listing/kost-khusus-putri-zahra-coblong-bandung-2/,Kost Khusus Putri Zahra Coblong Bandung,"COBLONG, KOTA BANDUNG"
129405,https://infokost.id/listing/kost-muslimah-kosasi/,Kost Muslimah Kosasi,"CIBEUNYING KIDUL, KOTA BANDUNG"
50902,https://infokost.id/listing/kost-winne/,Kost Wine,"LENGKONG, KOTA BANDUNG"
129690,https://infokost.id/listing/kost-ar-royan/,Kost Ar-Royan,"SUKASARI, KOTA BANDUNG"
51812,https://infokost.id/listing/kost-ta-caringin/,Kost Ta Caringin,"JATINANGOR, KABUPATEN SUMEDANG"
128412,https://infokost.id/listing/kost-terusan-cikendi/,Kost Terusan Cikendi,"CIDADAP, KOTA BANDUNG"
115514,https://infokost.id/listing/wisma-mayangsari-jatinangor/,Kost Putri Wisma Mayangsari UNPAD Jatinangor,"JATINANGOR, KABUPATEN SUMEDANG"
125609,https://infokost.id/listing/kost-bukit-resik-3a/,Kost Bukit Resik 3A,"CIDADAP, KOTA BANDUNG"
122201,https://infokost.id/listing/kost-putri-bumi-campernik/,Kost Putri Bumi Campernik,"JATINANGOR, KABUPATEN SUMEDANG"
120834,https://infokost.id/listing/kost-49/,Kost 49,"JATINANGOR, KABUPATEN SUMEDANG"
116240,https://infokost.id/listing/sadang-green-kost/,SADANG GREEN KOST,"COBLONG, KOTA BANDUNG"
116182,https://infokost.id/listing/kost-nadine-regol/,Kost Nadine Regol,"REGOL, KOTA BANDUNG"
116157,https://infokost.id/listing/kost-residence-99/,Kost Residence 99,"COBLONG, KOTA BANDUNG"
116104,https://infokost.id/listing/kost-cibogo-31/,Kost Cibogo 31,"SUKAJADI, KOTA BANDUNG"
115926,https://infokost.id/listing/jabrix-hostel/,Jabrix Hostel,"BATUNUNGGAL, KOTA BANDUNG"
115766,https://infokost.id/listing/kost-immanuel-64/,Kost Immanuel 64,"BOJONGLOA KALER, KOTA BANDUNG"
115631,https://infokost.id/listing/kost-pa-ferry/,Kost Pa Ferry,"LENGKONG, KOTA BANDUNG"
115240,https://infokost.id/listing/kos-asri-jatinangor/,Kos Asri Jatinangor,"JATINANGOR, KABUPATEN SUMEDANG"
115000,https://infokost.id/listing/kost-dangdeur-indah-iii-no-5/,Kost Dangdeur Indah III No 5,"SUKAJADI, KOTA BANDUNG"
111427,https://infokost.id/listing/kost-tulip/,Kost Tulip,"CICENDO, KOTA BANDUNG"
114703,https://infokost.id/listing/kost-jati-24-lengkong/,Kost Jati 24 Lengkong,"LENGKONG, KOTA BANDUNG"
114655,https://infokost.id/listing/kost-de-5/,Kost De 5,"COBLONG, KOTA BANDUNG"
114550,https://infokost.id/listing/emji-kost/,Emji Kost,"CICENDO, KOTA BANDUNG"
114126,https://infokost.id/listing/alfa-house-kost/,Alfa House Kost,"PANYILEUKAN, KOTA BANDUNG"
114097,https://infokost.id/listing/kost-pu-5-ciumbuleuit/,Kost PU 5 Ciumbuleuit,"CIDADAP, KOTA BANDUNG"
114075,https://infokost.id/listing/kost-bj-36/,Kost BJ 36,"CIDADAP, KOTA BANDUNG"
113964,https://infokost.id/listing/kost-dormus-coliving-dennis/,Kost Dormus Coliving Dennis,"SUKAJADI, KOTA BANDUNG"
113719,https://infokost.id/listing/omah-wening/,Omah Wening,"CICENDO, KOTA BANDUNG"
112909,https://infokost.id/listing/home-inn-kostel/,Home Inn Kostel,"COBLONG, KOTA BANDUNG"
112074,https://infokost.id/listing/kozko-living/,Kozko Living,"JATINANGOR, KABUPATEN SUMEDANG"
111342,https://infokost.id/listing/kost-wira-23/,Kost Wira 23,"BANDUNG WETAN, KOTA BANDUNG"
111298,https://infokost.id/listing/kost-bios-garden-house/,Kost Bios Garden House,"SUKASARI, KOTA BANDUNG"
111282,https://infokost.id/listing/kost-cigadung-76a/,Kost Cigadung 76A,"CIBEUNYING KALER, KOTA BANDUNG"
111178,https://infokost.id/listing/beverly-park/,Beverly Park,"JATINANGOR, KABUPATEN SUMEDANG"
111164,https://infokost.id/listing/kost-java-retro-residence/,KOST JAVA RETRO RESIDENCE,"SUKAJADI, KOTA BANDUNG"
110933,https://infokost.id/listing/kost-pak-deddy-sukaati/,Kost Pak Deddy Sukaati,"REGOL, KOTA BANDUNG"
100115,https://infokost.id/listing/kosan-barokah-32/,Kosan Barokah 32,"ASTANAANYAR, KOTA BANDUNG"
110836,https://infokost.id/listing/kost-oong-coblong-bandung/,Kost Oong Coblong Bandung,"COBLONG, KOTA BANDUNG"
110673,https://infokost.id/listing/habibah-kost/,Habibah Kost,"CICENDO, KOTA BANDUNG"
110490,https://infokost.id/listing/kost-suka/,Kost Suka,"CICENDO, KOTA BANDUNG"
110065,https://infokost.id/listing/kost-sederhana-4/,Kost Sederhana 4,"SUKAJADI, KOTA BANDUNG"
109858,https://infokost.id/listing/sriwijaya-residence/,Sriwijaya Residence,"REGOL, KOTA BANDUNG"
109674,https://infokost.id/listing/kost-ronal-3/,Kost Ronal 3,"BUAHBATU, KOTA BANDUNG"
109600,https://infokost.id/listing/rumah-firdaus/,Rumah Firdaus,"COBLONG, KOTA BANDUNG"
109536,https://infokost.id/listing/kost-dago-asri-18-b/,Kost Dago Asri 18 B,"COBLONG, KOTA BANDUNG"
109460,https://infokost.id/listing/kost-anggrek-bulan/,Kost Anggrek Bulan,"COBLONG, KOTA BANDUNG"
109447,https://infokost.id/listing/kost-alis-ciumbuleuit/,Kost Alis Ciumbuleuit,"CIDADAP, KOTA BANDUNG"
109109,https://infokost.id/listing/mandiri-kost/,Mandiri Kost,"ASTANAANYAR, KOTA BANDUNG"
108549,https://infokost.id/listing/kost-wanoja-tipe-a-cibeunying-kidul-bandung/,Kost Wanoja Tipe A Cibeunying Kidul Bandung,"CIBEUNYING KIDUL, KOTA BANDUNG"
108536,https://infokost.id/listing/kost-dirgantara-v-bandung/,Kost Dirgantara V Bandung,"BANDUNG KULON, KOTA BANDUNG"
108065,https://infokost.id/listing/kost-rumah-kerlip/,Kost Rumah Kerlip,"COBLONG, KOTA BANDUNG"
107397,https://infokost.id/listing/kost-cisitu-indah-4/,Kost Cisitu Indah 4,"COBLONG, KOTA BANDUNG"
107381,https://infokost.id/listing/rumah-asri/,Rumah Asri,"SUKASARI, KOTA BANDUNG"
106922,https://infokost.id/listing/sukaraja-residence/,Sukaraja Residence,"SUKAJADI, KOTA BANDUNG"
105815,https://infokost.id/listing/arlya-kost/,Arlya Kost,"ANTAPANI, KOTA BANDUNG"
106649,https://infokost.id/listing/socialite-residence/,Socialite Residence,"DAYEUHKOLOT, KABUPATEN BANDUNG"
105844,https://infokost.id/listing/cisatu-coliving/,Cisatu Coliving,"CIDADAP, KOTA BANDUNG"
104424,https://infokost.id/listing/kost-cgs-82/,Kost CGS-82,"CIBEUNYING KALER, KOTA BANDUNG"
99899,https://infokost.id/listing/kost-pondok-tisa/,Kost Pondok Tisa,"CIMAHI SELATAN, KOTA CIMAHI"
99346,https://infokost.id/listing/yus-residence-pelesiran-16/,Yus Residence Pelesiran 16,"COBLONG, KOTA BANDUNG"
99257,https://infokost.id/listing/apartemen-parahyangan-residence/,Apartemen Parahyangan Residence,"CIDADAP, KOTA BANDUNG"
98964,https://infokost.id/listing/kost-dipati-ukur-coblong-bandung/,Kost Dipati Ukur Coblong Bandung,"COBLONG, KOTA BANDUNG"
98825,https://infokost.id/listing/dara-dara-kost/,Dara Dara Kost,"COBLONG, KOTA BANDUNG"
98620,https://infokost.id/listing/green-house-2/,Green House,"COBLONG, KOTA BANDUNG"
96219,https://infokost.id/listing/kost-exclusive-sofia-house-bandung/,Kost Exclusive Sofia House Bandung,"SUKAJADI, KOTA BANDUNG"
97886,https://infokost.id/listing/uvillage/,UVillage,"CIDADAP, KOTA BANDUNG"
97796,https://infokost.id/listing/imperial-f-12/,Imperial F 12,"COBLONG, KOTA BANDUNG"
97849,https://infokost.id/listing/moona-kost-homestay/,Moona Kost & Homestay,"BOJONGSOANG, KABUPATEN BANDUNG"
97765,https://infokost.id/listing/kost-pbb-g50/,Kost PBB G50,", KABUPATEN BANDUNG"
